----------------------------------------
Experiment
----------------------------------------
Algorithm:	MR.Q
Env:		Atari-Alien-v5
Seed:		0
----------------------------------------
Environment hyperparameters
----------------------------------------
AtariHyperparameters(history=4, training_reward_clipping=False, max_ep_frames=108000, max_noops=0, action_repeat=4, terminal_lives=False, image_size=84, pool_frames=True, grayscale=True, sticky_actions=True, eval_eps=0.001)
Obs shape:		(1, 84, 84)
Action dim:		18
Discrete actions:	True
Pixel observations:	True
----------------------------------------
Agent hyperparameters
----------------------------------------
Hyperparameters(batch_size=256, buffer_size=1000000.0, discount=0.99, target_update_freq=250, buffer_size_before_training=10000.0, exploration_noise=0.2, target_policy_noise=0.2, noise_clip=0.3, dyn_weight=1, reward_weight=0.1, done_weight=0.1, prioritized=True, alpha=0.4, min_priority=1, enc_horizon=5, Q_horizon=3, zs_dim=512, zsa_dim=512, za_dim=256, enc_hdim=512, enc_activ='elu', enc_lr=0.0001, enc_wd=0.0001, pixel_augs=True, value_hdim=512, value_activ='elu', value_lr=0.0003, value_wd=0.0001, value_grad_clip=20, policy_hdim=512, policy_activ='relu', policy_lr=0.0003, policy_wd=0.0001, gumbel_tau=10, pre_activ_weight=1e-05, num_bins=65, lower=-10, upper=10)
----------------------------------------
Total T: 574, Episode Num: 2, Episode T: 574, Reward: 180.000
Total T: 1302, Episode Num: 3, Episode T: 728, Reward: 170.000
Total T: 1786, Episode Num: 4, Episode T: 484, Reward: 190.000
Total T: 2359, Episode Num: 5, Episode T: 573, Reward: 160.000
Total T: 3012, Episode Num: 6, Episode T: 653, Reward: 190.000
Total T: 3858, Episode Num: 7, Episode T: 846, Reward: 320.000
Total T: 4649, Episode Num: 8, Episode T: 791, Reward: 210.000
Total T: 5160, Episode Num: 9, Episode T: 511, Reward: 90.000
Total T: 5679, Episode Num: 10, Episode T: 519, Reward: 210.000
Total T: 6432, Episode Num: 11, Episode T: 753, Reward: 120.000
Total T: 7032, Episode Num: 12, Episode T: 600, Reward: 100.000
Total T: 7723, Episode Num: 13, Episode T: 691, Reward: 170.000
Total T: 8333, Episode Num: 14, Episode T: 610, Reward: 170.000
Total T: 8911, Episode Num: 15, Episode T: 578, Reward: 170.000
Total T: 9386, Episode Num: 16, Episode T: 475, Reward: 130.000
Total T: 10074, Episode Num: 17, Episode T: 688, Reward: 320.000
Total T: 10522, Episode Num: 18, Episode T: 448, Reward: 150.000
Total T: 11130, Episode Num: 19, Episode T: 608, Reward: 150.000
Total T: 11677, Episode Num: 20, Episode T: 547, Reward: 140.000
Total T: 12110, Episode Num: 21, Episode T: 433, Reward: 140.000
Total T: 12752, Episode Num: 22, Episode T: 642, Reward: 140.000
Total T: 13396, Episode Num: 23, Episode T: 644, Reward: 140.000
Total T: 13852, Episode Num: 24, Episode T: 456, Reward: 210.000
Total T: 14261, Episode Num: 25, Episode T: 409, Reward: 60.000
Total T: 14757, Episode Num: 26, Episode T: 496, Reward: 110.000
Total T: 15181, Episode Num: 27, Episode T: 424, Reward: 170.000
Total T: 15729, Episode Num: 28, Episode T: 548, Reward: 140.000
Total T: 16350, Episode Num: 29, Episode T: 621, Reward: 210.000
Total T: 16691, Episode Num: 30, Episode T: 341, Reward: 50.000
Total T: 17204, Episode Num: 31, Episode T: 513, Reward: 180.000
Total T: 17756, Episode Num: 32, Episode T: 552, Reward: 140.000
Total T: 18204, Episode Num: 33, Episode T: 448, Reward: 200.000
Total T: 18756, Episode Num: 34, Episode T: 552, Reward: 140.000
Total T: 19308, Episode Num: 35, Episode T: 552, Reward: 140.000
Total T: 19893, Episode Num: 36, Episode T: 585, Reward: 140.000
Total T: 20518, Episode Num: 37, Episode T: 625, Reward: 230.000
Total T: 20988, Episode Num: 38, Episode T: 470, Reward: 100.000
Total T: 21490, Episode Num: 39, Episode T: 502, Reward: 230.000
Total T: 22014, Episode Num: 40, Episode T: 524, Reward: 250.000
Total T: 22559, Episode Num: 41, Episode T: 545, Reward: 230.000
Total T: 23116, Episode Num: 42, Episode T: 557, Reward: 140.000
Total T: 23697, Episode Num: 43, Episode T: 581, Reward: 210.000
Total T: 24162, Episode Num: 44, Episode T: 465, Reward: 200.000
Total T: 24735, Episode Num: 45, Episode T: 573, Reward: 140.000
Total T: 25282, Episode Num: 46, Episode T: 547, Reward: 280.000
Total T: 25712, Episode Num: 47, Episode T: 430, Reward: 280.000
Total T: 26241, Episode Num: 48, Episode T: 529, Reward: 340.000
Total T: 26862, Episode Num: 49, Episode T: 621, Reward: 290.000
Total T: 27588, Episode Num: 50, Episode T: 726, Reward: 260.000
Total T: 28328, Episode Num: 51, Episode T: 740, Reward: 220.000
Total T: 28851, Episode Num: 52, Episode T: 523, Reward: 230.000
Total T: 29430, Episode Num: 53, Episode T: 579, Reward: 220.000
Total T: 29926, Episode Num: 54, Episode T: 496, Reward: 300.000
Total T: 30402, Episode Num: 55, Episode T: 476, Reward: 340.000
Total T: 31132, Episode Num: 56, Episode T: 730, Reward: 340.000
Total T: 31831, Episode Num: 57, Episode T: 699, Reward: 380.000
Total T: 32351, Episode Num: 58, Episode T: 520, Reward: 440.000
Total T: 32686, Episode Num: 59, Episode T: 335, Reward: 200.000
Total T: 33138, Episode Num: 60, Episode T: 452, Reward: 470.000
Total T: 33523, Episode Num: 61, Episode T: 385, Reward: 340.000
Total T: 34222, Episode Num: 62, Episode T: 699, Reward: 1020.000
Total T: 34978, Episode Num: 63, Episode T: 756, Reward: 440.000
Total T: 35445, Episode Num: 64, Episode T: 467, Reward: 380.000
Total T: 36223, Episode Num: 65, Episode T: 778, Reward: 1900.000
Total T: 37037, Episode Num: 66, Episode T: 814, Reward: 390.000
Total T: 37815, Episode Num: 67, Episode T: 778, Reward: 480.000
Total T: 38462, Episode Num: 68, Episode T: 647, Reward: 910.000
Total T: 39090, Episode Num: 69, Episode T: 628, Reward: 340.000
Total T: 39481, Episode Num: 70, Episode T: 391, Reward: 320.000
Total T: 39823, Episode Num: 71, Episode T: 342, Reward: 350.000
Total T: 40326, Episode Num: 72, Episode T: 503, Reward: 360.000
Total T: 41078, Episode Num: 73, Episode T: 752, Reward: 580.000
