----------------------------------------
Experiment
----------------------------------------
Algorithm:	MR.Q
Env:		Atari-Alien-v5
Seed:		0
----------------------------------------
Environment hyperparameters
----------------------------------------
AtariHyperparameters(history=4, training_reward_clipping=False, max_ep_frames=108000, max_noops=0, action_repeat=4, terminal_lives=False, image_size=84, pool_frames=True, grayscale=True, sticky_actions=True, eval_eps=0.001)
Obs shape:		(1, 84, 84)
Action dim:		18
Discrete actions:	True
Pixel observations:	True
----------------------------------------
Agent hyperparameters
----------------------------------------
Hyperparameters(batch_size=256, buffer_size=1000000.0, discount=0.99, target_update_freq=250, buffer_size_before_training=10000.0, exploration_noise=0.2, target_policy_noise=0.2, noise_clip=0.3, dyn_weight=1, reward_weight=0.1, done_weight=0.1, prioritized=True, alpha=0.4, min_priority=1, enc_horizon=5, Q_horizon=3, zs_dim=512, zsa_dim=512, za_dim=256, enc_hdim=512, enc_activ='elu', enc_lr=0.0001, enc_wd=0.0001, pixel_augs=True, value_hdim=512, value_activ='elu', value_lr=0.0003, value_wd=0.0001, value_grad_clip=20, policy_hdim=512, policy_activ='relu', policy_lr=0.0003, policy_wd=0.0001, gumbel_tau=10, pre_activ_weight=1e-05, num_bins=65, lower=-10, upper=10)
----------------------------------------
Total T: 574, Episode Num: 2, Episode T: 574, Reward: 180.000
Total T: 1302, Episode Num: 3, Episode T: 728, Reward: 170.000
Total T: 1786, Episode Num: 4, Episode T: 484, Reward: 190.000
Total T: 2359, Episode Num: 5, Episode T: 573, Reward: 160.000
Total T: 3012, Episode Num: 6, Episode T: 653, Reward: 190.000
Total T: 3858, Episode Num: 7, Episode T: 846, Reward: 320.000
Total T: 4649, Episode Num: 8, Episode T: 791, Reward: 210.000
Total T: 5160, Episode Num: 9, Episode T: 511, Reward: 90.000
Total T: 5679, Episode Num: 10, Episode T: 519, Reward: 210.000
Total T: 6432, Episode Num: 11, Episode T: 753, Reward: 120.000
Total T: 7032, Episode Num: 12, Episode T: 600, Reward: 100.000
Total T: 7723, Episode Num: 13, Episode T: 691, Reward: 170.000
Total T: 8333, Episode Num: 14, Episode T: 610, Reward: 170.000
Total T: 8911, Episode Num: 15, Episode T: 578, Reward: 170.000
Total T: 9386, Episode Num: 16, Episode T: 475, Reward: 130.000
Total T: 10074, Episode Num: 17, Episode T: 688, Reward: 320.000
Total T: 10553, Episode Num: 18, Episode T: 479, Reward: 140.000
Total T: 11108, Episode Num: 19, Episode T: 555, Reward: 190.000
Total T: 11750, Episode Num: 20, Episode T: 642, Reward: 140.000
Total T: 12392, Episode Num: 21, Episode T: 642, Reward: 140.000
Total T: 13088, Episode Num: 22, Episode T: 696, Reward: 180.000
Total T: 13636, Episode Num: 23, Episode T: 548, Reward: 140.000
Total T: 14191, Episode Num: 24, Episode T: 555, Reward: 140.000
Total T: 14848, Episode Num: 25, Episode T: 657, Reward: 150.000
Total T: 15390, Episode Num: 26, Episode T: 542, Reward: 90.000
Total T: 15815, Episode Num: 27, Episode T: 425, Reward: 30.000
Total T: 16430, Episode Num: 28, Episode T: 615, Reward: 140.000
Total T: 16982, Episode Num: 29, Episode T: 552, Reward: 140.000
Total T: 17677, Episode Num: 30, Episode T: 695, Reward: 280.000
Total T: 18173, Episode Num: 31, Episode T: 496, Reward: 100.000
Total T: 18733, Episode Num: 32, Episode T: 560, Reward: 140.000
Total T: 19354, Episode Num: 33, Episode T: 621, Reward: 180.000
Total T: 19817, Episode Num: 34, Episode T: 463, Reward: 190.000
Total T: 20466, Episode Num: 35, Episode T: 649, Reward: 230.000
Total T: 21077, Episode Num: 36, Episode T: 611, Reward: 360.000
Total T: 21448, Episode Num: 37, Episode T: 371, Reward: 140.000
Total T: 21973, Episode Num: 38, Episode T: 525, Reward: 140.000
Total T: 22586, Episode Num: 39, Episode T: 613, Reward: 310.000
Total T: 23104, Episode Num: 40, Episode T: 518, Reward: 230.000
Total T: 23821, Episode Num: 41, Episode T: 717, Reward: 940.000
Total T: 24623, Episode Num: 42, Episode T: 802, Reward: 210.000
Total T: 25054, Episode Num: 43, Episode T: 431, Reward: 270.000
Total T: 25736, Episode Num: 44, Episode T: 682, Reward: 260.000
Total T: 26187, Episode Num: 45, Episode T: 451, Reward: 250.000
Total T: 26676, Episode Num: 46, Episode T: 489, Reward: 260.000
Total T: 27199, Episode Num: 47, Episode T: 523, Reward: 280.000
Total T: 27666, Episode Num: 48, Episode T: 467, Reward: 220.000
Total T: 28237, Episode Num: 49, Episode T: 571, Reward: 300.000
Total T: 29033, Episode Num: 50, Episode T: 796, Reward: 380.000
Total T: 29984, Episode Num: 51, Episode T: 951, Reward: 320.000
Total T: 30793, Episode Num: 52, Episode T: 809, Reward: 360.000
Total T: 31622, Episode Num: 53, Episode T: 829, Reward: 930.000
Total T: 32383, Episode Num: 54, Episode T: 761, Reward: 360.000
Total T: 32860, Episode Num: 55, Episode T: 477, Reward: 340.000
Total T: 33686, Episode Num: 56, Episode T: 826, Reward: 420.000
Total T: 34122, Episode Num: 57, Episode T: 436, Reward: 350.000
Total T: 34793, Episode Num: 58, Episode T: 671, Reward: 370.000
Total T: 35394, Episode Num: 59, Episode T: 601, Reward: 480.000
Total T: 36182, Episode Num: 60, Episode T: 788, Reward: 500.000
Total T: 36977, Episode Num: 61, Episode T: 795, Reward: 570.000
Total T: 37778, Episode Num: 62, Episode T: 801, Reward: 460.000
Total T: 38575, Episode Num: 63, Episode T: 797, Reward: 530.000
Total T: 39361, Episode Num: 64, Episode T: 786, Reward: 1000.000
Total T: 40039, Episode Num: 65, Episode T: 678, Reward: 520.000
Total T: 40891, Episode Num: 66, Episode T: 852, Reward: 440.000
Total T: 41361, Episode Num: 67, Episode T: 470, Reward: 520.000
Total T: 41841, Episode Num: 68, Episode T: 480, Reward: 510.000
Total T: 42515, Episode Num: 69, Episode T: 674, Reward: 460.000
Total T: 43118, Episode Num: 70, Episode T: 603, Reward: 660.000
Total T: 43882, Episode Num: 71, Episode T: 764, Reward: 1120.000
Total T: 44526, Episode Num: 72, Episode T: 644, Reward: 580.000
Total T: 45089, Episode Num: 73, Episode T: 563, Reward: 530.000
