----------------------------------------
Experiment
----------------------------------------
Algorithm:	MR.Q
Env:		Gym-Hopper-v4
Seed:		0
----------------------------------------
Environment hyperparameters
----------------------------------------
Obs shape:		(11,)
Action dim:		3
Discrete actions:	False
Pixel observations:	False
----------------------------------------
Agent hyperparameters
----------------------------------------
Hyperparameters(batch_size=256, buffer_size=1000000.0, discount=0.99, target_update_freq=250, buffer_size_before_training=10000.0, exploration_noise=0.2, target_policy_noise=0.2, noise_clip=0.3, dyn_weight=1, reward_weight=0.1, done_weight=0.1, prioritized=True, alpha=0.4, min_priority=1, enc_horizon=5, Q_horizon=3, zs_dim=512, zsa_dim=512, za_dim=256, enc_hdim=512, enc_activ='elu', enc_lr=0.0001, enc_wd=0.0001, pixel_augs=True, value_hdim=512, value_activ='elu', value_lr=0.0003, value_wd=0.0001, value_grad_clip=20, policy_hdim=512, policy_activ='relu', policy_lr=0.0003, policy_wd=0.0001, gumbel_tau=10, pre_activ_weight=1e-05, num_bins=65, lower=-10, upper=10)
----------------------------------------
Total T: 27, Episode Num: 2, Episode T: 27, Reward: 19.727
Total T: 102, Episode Num: 3, Episode T: 75, Reward: 105.111
Total T: 125, Episode Num: 4, Episode T: 23, Reward: 18.300
Total T: 165, Episode Num: 5, Episode T: 40, Reward: 33.963
Total T: 192, Episode Num: 6, Episode T: 27, Reward: 26.135
Total T: 207, Episode Num: 7, Episode T: 15, Reward: 13.637
Total T: 252, Episode Num: 8, Episode T: 45, Reward: 20.267
Total T: 266, Episode Num: 9, Episode T: 14, Reward: 8.850
Total T: 284, Episode Num: 10, Episode T: 18, Reward: 15.914
Total T: 314, Episode Num: 11, Episode T: 30, Reward: 27.390
Total T: 327, Episode Num: 12, Episode T: 13, Reward: 12.333
Total T: 338, Episode Num: 13, Episode T: 11, Reward: 8.090
Total T: 363, Episode Num: 14, Episode T: 25, Reward: 8.739
Total T: 386, Episode Num: 15, Episode T: 23, Reward: 10.813
Total T: 410, Episode Num: 16, Episode T: 24, Reward: 19.744
Total T: 422, Episode Num: 17, Episode T: 12, Reward: 8.873
Total T: 440, Episode Num: 18, Episode T: 18, Reward: 9.073
Total T: 451, Episode Num: 19, Episode T: 11, Reward: 4.611
Total T: 494, Episode Num: 20, Episode T: 43, Reward: 68.056
Total T: 519, Episode Num: 21, Episode T: 25, Reward: 17.625
Total T: 554, Episode Num: 22, Episode T: 35, Reward: 34.537
Total T: 570, Episode Num: 23, Episode T: 16, Reward: 10.348
Total T: 592, Episode Num: 24, Episode T: 22, Reward: 25.658
Total T: 603, Episode Num: 25, Episode T: 11, Reward: 8.245
Total T: 613, Episode Num: 26, Episode T: 10, Reward: 7.101
Total T: 635, Episode Num: 27, Episode T: 22, Reward: 11.149
Total T: 652, Episode Num: 28, Episode T: 17, Reward: 13.000
Total T: 663, Episode Num: 29, Episode T: 11, Reward: 7.621
Total T: 673, Episode Num: 30, Episode T: 10, Reward: 7.785
Total T: 698, Episode Num: 31, Episode T: 25, Reward: 9.137
Total T: 709, Episode Num: 32, Episode T: 11, Reward: 8.389
Total T: 719, Episode Num: 33, Episode T: 10, Reward: 8.114
Total T: 749, Episode Num: 34, Episode T: 30, Reward: 25.557
Total T: 760, Episode Num: 35, Episode T: 11, Reward: 9.464
Total T: 780, Episode Num: 36, Episode T: 20, Reward: 20.588
Total T: 800, Episode Num: 37, Episode T: 20, Reward: 20.743
Total T: 838, Episode Num: 38, Episode T: 38, Reward: 31.816
Total T: 854, Episode Num: 39, Episode T: 16, Reward: 10.752
Total T: 872, Episode Num: 40, Episode T: 18, Reward: 8.944
Total T: 891, Episode Num: 41, Episode T: 19, Reward: 18.401
Total T: 903, Episode Num: 42, Episode T: 12, Reward: 6.696
