/home/ne3496/.conda/envs/mrq_gpu/lib/python3.9/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment Humanoid-v4 is out of date. You should consider upgrading to version `v5`.
  logger.deprecation(
----------------------------------------
Experiment
----------------------------------------
Algorithm:	MR.Q
Env:		Gym-Humanoid-v4
Seed:		0
----------------------------------------
Environment hyperparameters
----------------------------------------
Obs shape:		(376,)
Action dim:		17
Discrete actions:	False
Pixel observations:	False
----------------------------------------
Agent hyperparameters
----------------------------------------
Hyperparameters(batch_size=256, buffer_size=1000000.0, discount=0.99, target_update_freq=250, buffer_size_before_training=10000.0, exploration_noise=0.2, target_policy_noise=0.2, noise_clip=0.3, dyn_weight=1, reward_weight=0.1, done_weight=0.1, prioritized=True, alpha=0.4, min_priority=1, enc_horizon=5, Q_horizon=3, zs_dim=512, zsa_dim=512, za_dim=256, enc_hdim=512, enc_activ='elu', enc_lr=0.0001, enc_wd=0.0001, pixel_augs=True, value_hdim=512, value_activ='elu', value_lr=0.0003, value_wd=0.0001, value_grad_clip=20, policy_hdim=512, policy_activ='relu', policy_lr=0.0003, policy_wd=0.0001, gumbel_tau=10, pre_activ_weight=1e-05, num_bins=65, lower=-10, upper=10)
----------------------------------------
Total T: 22, Episode Num: 2, Episode T: 22, Reward: 112.091
Total T: 46, Episode Num: 3, Episode T: 24, Reward: 126.009
Total T: 64, Episode Num: 4, Episode T: 18, Reward: 89.957
Total T: 98, Episode Num: 5, Episode T: 34, Reward: 179.405
Total T: 122, Episode Num: 6, Episode T: 24, Reward: 117.907
Total T: 140, Episode Num: 7, Episode T: 18, Reward: 88.474
Total T: 157, Episode Num: 8, Episode T: 17, Reward: 83.387
Total T: 175, Episode Num: 9, Episode T: 18, Reward: 89.316
Total T: 194, Episode Num: 10, Episode T: 19, Reward: 95.040
Total T: 213, Episode Num: 11, Episode T: 19, Reward: 93.212
Total T: 240, Episode Num: 12, Episode T: 27, Reward: 134.705
Total T: 275, Episode Num: 13, Episode T: 35, Reward: 176.740
Total T: 293, Episode Num: 14, Episode T: 18, Reward: 88.593
Total T: 313, Episode Num: 15, Episode T: 20, Reward: 98.058
Total T: 347, Episode Num: 16, Episode T: 34, Reward: 162.114
Total T: 367, Episode Num: 17, Episode T: 20, Reward: 101.227
Total T: 388, Episode Num: 18, Episode T: 21, Reward: 105.224
Total T: 407, Episode Num: 19, Episode T: 19, Reward: 94.684
Total T: 428, Episode Num: 20, Episode T: 21, Reward: 108.021
Total T: 452, Episode Num: 21, Episode T: 24, Reward: 120.998
Total T: 477, Episode Num: 22, Episode T: 25, Reward: 130.052
Total T: 500, Episode Num: 23, Episode T: 23, Reward: 115.555
Total T: 537, Episode Num: 24, Episode T: 37, Reward: 182.007
Total T: 557, Episode Num: 25, Episode T: 20, Reward: 101.579
Total T: 579, Episode Num: 26, Episode T: 22, Reward: 111.693
Total T: 605, Episode Num: 27, Episode T: 26, Reward: 130.118
Total T: 632, Episode Num: 28, Episode T: 27, Reward: 136.799
Total T: 658, Episode Num: 29, Episode T: 26, Reward: 130.818
Total T: 680, Episode Num: 30, Episode T: 22, Reward: 112.355
Total T: 719, Episode Num: 31, Episode T: 39, Reward: 201.781
Total T: 748, Episode Num: 32, Episode T: 29, Reward: 151.333
Total T: 770, Episode Num: 33, Episode T: 22, Reward: 111.957
Total T: 790, Episode Num: 34, Episode T: 20, Reward: 99.965
Total T: 809, Episode Num: 35, Episode T: 19, Reward: 94.388
Total T: 833, Episode Num: 36, Episode T: 24, Reward: 124.754
