----------------------------------------
Experiment
----------------------------------------
Algorithm:	MR.Q
Env:		Gym-Walker2d-v4
Seed:		0
----------------------------------------
Environment hyperparameters
----------------------------------------
Obs shape:		(17,)
Action dim:		6
Discrete actions:	False
Pixel observations:	False
----------------------------------------
Agent hyperparameters
----------------------------------------
Hyperparameters(batch_size=256, buffer_size=1000000.0, discount=0.99, target_update_freq=250, buffer_size_before_training=10000.0, exploration_noise=0.2, target_policy_noise=0.2, noise_clip=0.3, dyn_weight=1, reward_weight=0.1, done_weight=0.1, prioritized=True, alpha=0.4, min_priority=1, enc_horizon=5, Q_horizon=3, zs_dim=512, zsa_dim=512, za_dim=256, enc_hdim=512, enc_activ='elu', enc_lr=0.0001, enc_wd=0.0001, pixel_augs=True, value_hdim=512, value_activ='elu', value_lr=0.0003, value_wd=0.0001, value_grad_clip=20, policy_hdim=512, policy_activ='relu', policy_lr=0.0003, policy_wd=0.0001, gumbel_tau=10, pre_activ_weight=1e-05, num_bins=65, lower=-10, upper=10)
----------------------------------------
Total T: 62, Episode Num: 2, Episode T: 62, Reward: 36.905
Total T: 88, Episode Num: 3, Episode T: 26, Reward: 10.881
Total T: 105, Episode Num: 4, Episode T: 17, Reward: 3.786
Total T: 135, Episode Num: 5, Episode T: 30, Reward: -6.688
Total T: 154, Episode Num: 6, Episode T: 19, Reward: 4.984
Total T: 166, Episode Num: 7, Episode T: 12, Reward: 2.201
Total T: 177, Episode Num: 8, Episode T: 11, Reward: -4.088
Total T: 209, Episode Num: 9, Episode T: 32, Reward: -0.977
Total T: 226, Episode Num: 10, Episode T: 17, Reward: -3.853
Total T: 258, Episode Num: 11, Episode T: 32, Reward: 4.900
Total T: 278, Episode Num: 12, Episode T: 20, Reward: 7.315
Total T: 293, Episode Num: 13, Episode T: 15, Reward: -4.221
Total T: 304, Episode Num: 14, Episode T: 11, Reward: -1.358
Total T: 328, Episode Num: 15, Episode T: 24, Reward: -3.086
Total T: 341, Episode Num: 16, Episode T: 13, Reward: -0.755
Total T: 355, Episode Num: 17, Episode T: 14, Reward: -3.565
Total T: 375, Episode Num: 18, Episode T: 20, Reward: -0.819
Total T: 386, Episode Num: 19, Episode T: 11, Reward: 0.376
Total T: 400, Episode Num: 20, Episode T: 14, Reward: -3.049
Total T: 424, Episode Num: 21, Episode T: 24, Reward: 8.649
Total T: 444, Episode Num: 22, Episode T: 20, Reward: -5.437
Total T: 461, Episode Num: 23, Episode T: 17, Reward: -1.856
Total T: 485, Episode Num: 24, Episode T: 24, Reward: 10.088
Total T: 505, Episode Num: 25, Episode T: 20, Reward: -3.457
Total T: 539, Episode Num: 26, Episode T: 34, Reward: 8.167
Total T: 556, Episode Num: 27, Episode T: 17, Reward: 3.670
Total T: 577, Episode Num: 28, Episode T: 21, Reward: 0.934
Total T: 603, Episode Num: 29, Episode T: 26, Reward: 2.217
Total T: 615, Episode Num: 30, Episode T: 12, Reward: -2.211
Total T: 628, Episode Num: 31, Episode T: 13, Reward: -1.622
Total T: 653, Episode Num: 32, Episode T: 25, Reward: -1.448
Total T: 683, Episode Num: 33, Episode T: 30, Reward: 7.944
Total T: 697, Episode Num: 34, Episode T: 14, Reward: 1.996
Total T: 707, Episode Num: 35, Episode T: 10, Reward: -1.440
Total T: 734, Episode Num: 36, Episode T: 27, Reward: 0.164
Total T: 771, Episode Num: 37, Episode T: 37, Reward: 16.962
Total T: 791, Episode Num: 38, Episode T: 20, Reward: -5.076
Total T: 825, Episode Num: 39, Episode T: 34, Reward: 9.023
Total T: 853, Episode Num: 40, Episode T: 28, Reward: 5.098
Total T: 870, Episode Num: 41, Episode T: 17, Reward: 0.484
Total T: 918, Episode Num: 42, Episode T: 48, Reward: 26.637
Total T: 946, Episode Num: 43, Episode T: 28, Reward: -2.941
Total T: 968, Episode Num: 44, Episode T: 22, Reward: -1.851
Total T: 979, Episode Num: 45, Episode T: 11, Reward: 1.066
Total T: 992, Episode Num: 46, Episode T: 13, Reward: -1.175
Total T: 1009, Episode Num: 47, Episode T: 17, Reward: 2.627
Total T: 1031, Episode Num: 48, Episode T: 22, Reward: -0.628
Total T: 1052, Episode Num: 49, Episode T: 21, Reward: 1.754
Total T: 1065, Episode Num: 50, Episode T: 13, Reward: -0.055
Total T: 1081, Episode Num: 51, Episode T: 16, Reward: -3.863
Total T: 1099, Episode Num: 52, Episode T: 18, Reward: -8.543
Total T: 1113, Episode Num: 53, Episode T: 14, Reward: 1.101
Total T: 1137, Episode Num: 54, Episode T: 24, Reward: 9.614
Total T: 1156, Episode Num: 55, Episode T: 19, Reward: 0.069
Total T: 1180, Episode Num: 56, Episode T: 24, Reward: 10.227
Total T: 1206, Episode Num: 57, Episode T: 26, Reward: 8.802
Total T: 1241, Episode Num: 58, Episode T: 35, Reward: 2.417
Total T: 1257, Episode Num: 59, Episode T: 16, Reward: 0.535
Total T: 1281, Episode Num: 60, Episode T: 24, Reward: 5.022
Total T: 1298, Episode Num: 61, Episode T: 17, Reward: -4.156
Total T: 1343, Episode Num: 62, Episode T: 45, Reward: 7.327
Total T: 1357, Episode Num: 63, Episode T: 14, Reward: -0.879
Total T: 1387, Episode Num: 64, Episode T: 30, Reward: 2.680
Total T: 1407, Episode Num: 65, Episode T: 20, Reward: 7.516
Total T: 1427, Episode Num: 66, Episode T: 20, Reward: 4.028
Total T: 1455, Episode Num: 67, Episode T: 28, Reward: 2.854
Total T: 1477, Episode Num: 68, Episode T: 22, Reward: -8.194
Total T: 1500, Episode Num: 69, Episode T: 23, Reward: 6.064
Total T: 1530, Episode Num: 70, Episode T: 30, Reward: 12.236
Total T: 1550, Episode Num: 71, Episode T: 20, Reward: 0.160
Total T: 1566, Episode Num: 72, Episode T: 16, Reward: -1.698
Total T: 1583, Episode Num: 73, Episode T: 17, Reward: 0.346
Total T: 1596, Episode Num: 74, Episode T: 13, Reward: 2.698
Total T: 1618, Episode Num: 75, Episode T: 22, Reward: 7.122
Total T: 1646, Episode Num: 76, Episode T: 28, Reward: 1.708
Total T: 1662, Episode Num: 77, Episode T: 16, Reward: -5.530
Total T: 1695, Episode Num: 78, Episode T: 33, Reward: 15.185
Total T: 1704, Episode Num: 79, Episode T: 9, Reward: -2.765
Total T: 1719, Episode Num: 80, Episode T: 15, Reward: 3.270
Total T: 1758, Episode Num: 81, Episode T: 39, Reward: -3.952
Total T: 1776, Episode Num: 82, Episode T: 18, Reward: -1.644
Total T: 1796, Episode Num: 83, Episode T: 20, Reward: 5.421
Total T: 1807, Episode Num: 84, Episode T: 11, Reward: -1.299
Total T: 1816, Episode Num: 85, Episode T: 9, Reward: -3.411
Total T: 1827, Episode Num: 86, Episode T: 11, Reward: -1.138
Total T: 1845, Episode Num: 87, Episode T: 18, Reward: 5.692
Total T: 1873, Episode Num: 88, Episode T: 28, Reward: 7.329
Total T: 1896, Episode Num: 89, Episode T: 23, Reward: 2.037
Total T: 1915, Episode Num: 90, Episode T: 19, Reward: 5.827
Total T: 1942, Episode Num: 91, Episode T: 27, Reward: 13.438
Total T: 1959, Episode Num: 92, Episode T: 17, Reward: -1.200
Total T: 1987, Episode Num: 93, Episode T: 28, Reward: 0.212
Total T: 2009, Episode Num: 94, Episode T: 22, Reward: 1.725
Total T: 2027, Episode Num: 95, Episode T: 18, Reward: 5.596
Total T: 2068, Episode Num: 96, Episode T: 41, Reward: 25.475
Total T: 2116, Episode Num: 97, Episode T: 48, Reward: 16.535
Total T: 2134, Episode Num: 98, Episode T: 18, Reward: 6.295
Total T: 2146, Episode Num: 99, Episode T: 12, Reward: -1.458
Total T: 2162, Episode Num: 100, Episode T: 16, Reward: -4.102
Total T: 2184, Episode Num: 101, Episode T: 22, Reward: -10.771
Total T: 2204, Episode Num: 102, Episode T: 20, Reward: 0.090
Total T: 2219, Episode Num: 103, Episode T: 15, Reward: 3.328
Total T: 2248, Episode Num: 104, Episode T: 29, Reward: 4.663
Total T: 2268, Episode Num: 105, Episode T: 20, Reward: -7.071
Total T: 2293, Episode Num: 106, Episode T: 25, Reward: -5.880
Total T: 2328, Episode Num: 107, Episode T: 35, Reward: 8.936
Total T: 2391, Episode Num: 108, Episode T: 63, Reward: 41.584
Total T: 2423, Episode Num: 109, Episode T: 32, Reward: 8.012
Total T: 2450, Episode Num: 110, Episode T: 27, Reward: 1.111
Total T: 2475, Episode Num: 111, Episode T: 25, Reward: 9.484
Total T: 2499, Episode Num: 112, Episode T: 24, Reward: 1.039
Total T: 2525, Episode Num: 113, Episode T: 26, Reward: 5.019
Total T: 2538, Episode Num: 114, Episode T: 13, Reward: -3.028
Total T: 2555, Episode Num: 115, Episode T: 17, Reward: 4.270
Total T: 2585, Episode Num: 116, Episode T: 30, Reward: 5.629
Total T: 2596, Episode Num: 117, Episode T: 11, Reward: 0.093
Total T: 2607, Episode Num: 118, Episode T: 11, Reward: -2.106
Total T: 2620, Episode Num: 119, Episode T: 13, Reward: 0.713
Total T: 2638, Episode Num: 120, Episode T: 18, Reward: 6.131
Total T: 2674, Episode Num: 121, Episode T: 36, Reward: 2.553
Total T: 2700, Episode Num: 122, Episode T: 26, Reward: 9.237
Total T: 2710, Episode Num: 123, Episode T: 10, Reward: -1.387
Total T: 2724, Episode Num: 124, Episode T: 14, Reward: 3.869
Total T: 2780, Episode Num: 125, Episode T: 56, Reward: 24.047
Total T: 2791, Episode Num: 126, Episode T: 11, Reward: 0.315
Total T: 2823, Episode Num: 127, Episode T: 32, Reward: 7.419
Total T: 2849, Episode Num: 128, Episode T: 26, Reward: -6.076
Total T: 2864, Episode Num: 129, Episode T: 15, Reward: 4.101
Total T: 2878, Episode Num: 130, Episode T: 14, Reward: 0.752
Total T: 2895, Episode Num: 131, Episode T: 17, Reward: 5.215
Total T: 2907, Episode Num: 132, Episode T: 12, Reward: -0.220
Total T: 2919, Episode Num: 133, Episode T: 12, Reward: 2.336
Total T: 2940, Episode Num: 134, Episode T: 21, Reward: -4.176
Total T: 2959, Episode Num: 135, Episode T: 19, Reward: -5.207
Total T: 2985, Episode Num: 136, Episode T: 26, Reward: 8.571
Total T: 3006, Episode Num: 137, Episode T: 21, Reward: 11.966
Total T: 3017, Episode Num: 138, Episode T: 11, Reward: 1.714
Total T: 3041, Episode Num: 139, Episode T: 24, Reward: 9.993
Total T: 3054, Episode Num: 140, Episode T: 13, Reward: -2.747
Total T: 3085, Episode Num: 141, Episode T: 31, Reward: 19.460
Total T: 3101, Episode Num: 142, Episode T: 16, Reward: 4.993
Total T: 3135, Episode Num: 143, Episode T: 34, Reward: 24.601
Total T: 3146, Episode Num: 144, Episode T: 11, Reward: -1.609
Total T: 3157, Episode Num: 145, Episode T: 11, Reward: -0.633
Total T: 3184, Episode Num: 146, Episode T: 27, Reward: 17.791
Total T: 3194, Episode Num: 147, Episode T: 10, Reward: 0.404
Total T: 3219, Episode Num: 148, Episode T: 25, Reward: 12.478
Total T: 3254, Episode Num: 149, Episode T: 35, Reward: 9.198
Total T: 3272, Episode Num: 150, Episode T: 18, Reward: 0.425
Total T: 3298, Episode Num: 151, Episode T: 26, Reward: 13.424
Total T: 3320, Episode Num: 152, Episode T: 22, Reward: -1.143
Total T: 3353, Episode Num: 153, Episode T: 33, Reward: -1.874
Total T: 3380, Episode Num: 154, Episode T: 27, Reward: -3.201
