2025-04-19 16:41:57,827 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Current SDK version is 0.17.9
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Configure stats pid to 75929
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Loading settings from /Users/nataliaespinosa-dice/.config/wandb/settings
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Loading settings from /Users/nataliaespinosa-dice/Desktop/COS-435-RL-MrQ/mrq/wandb/settings
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'mrq/new_main.py', 'program_abspath': '/Users/nataliaespinosa-dice/Desktop/COS-435-RL-MrQ/mrq/new_main.py', 'program': '/Users/nataliaespinosa-dice/Desktop/COS-435-RL-MrQ/mrq/new_main.py'}
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_setup.py:_flush():77] Applying login settings: {}
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_init.py:_log_setup():524] Logging user logs to /Users/nataliaespinosa-dice/Desktop/COS-435-RL-MrQ/mrq/wandb/run-20250419_164157-m1kf9ezc/logs/debug.log
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/nataliaespinosa-dice/Desktop/COS-435-RL-MrQ/mrq/wandb/run-20250419_164157-m1kf9ezc/logs/debug-internal.log
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_init.py:init():608] calling init triggers
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_init.py:init():615] wandb.init called with sweep_config: {}
config: {'env': 'Gym-Ant-v4', 'seed': 0, 'total_timesteps': 20000, 'device': device(type='cpu'), 'eval_frequency': 5000, 'eval_eps': 10, 'project_name': 'MRQ+Gym-Ant-v4+0', 'eval_folder': './evals', 'log_folder': './logs', 'save_folder': './checkpoint', 'save_experiment': False, 'save_freq': 100000, 'load_experiment': False, 'config': Defaults(Atari_total_timesteps=2500000, Atari_eval_frequency=100000, Dmc_total_timesteps=500000, Dmc_eval_frequency=5000, Gym_total_timesteps=1000000, Gym_eval_frequency=5000), 'env_type': 'Gym', 'logger': <utils.Logger object at 0x13eb07450>}
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_init.py:init():658] starting backend
2025-04-19 16:41:57,828 INFO    MainThread:75929 [wandb_init.py:init():662] setting up manager
2025-04-19 16:41:57,831 INFO    MainThread:75929 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-04-19 16:41:57,833 INFO    MainThread:75929 [wandb_init.py:init():670] backend started and connected
2025-04-19 16:41:57,838 INFO    MainThread:75929 [wandb_init.py:init():768] updated telemetry
2025-04-19 16:41:57,858 INFO    MainThread:75929 [wandb_init.py:init():801] communicating run to backend with 90.0 second timeout
2025-04-19 16:41:58,152 INFO    MainThread:75929 [wandb_init.py:init():852] starting run threads in backend
2025-04-19 16:42:01,581 INFO    MainThread:75929 [wandb_run.py:_console_start():2465] atexit reg
2025-04-19 16:42:01,581 INFO    MainThread:75929 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2025-04-19 16:42:01,581 INFO    MainThread:75929 [wandb_run.py:_redirect():2376] Wrapping output streams.
2025-04-19 16:42:01,581 INFO    MainThread:75929 [wandb_run.py:_redirect():2401] Redirects installed.
2025-04-19 16:42:01,583 INFO    MainThread:75929 [wandb_init.py:init():895] run started, returning control to user process
